"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSMUSG00000000869",17.1286704533172,-0.130934011010648,0.192142341016989,-0.681442779960047,0.495591361408334,0.919548270494651,"Il4"
"ENSMUSG00000000876",187.164195600571,-0.0264128256188231,0.0596332912836754,-0.442920809002095,0.6578230154389,0.954205033699949,"Pxmp4"
"ENSMUSG00000000881",3897.14151978217,-0.0888918436291215,0.0476704969189446,-1.86471401337113,0.0622215014639921,0.730685739053632,"Dlg3"
"ENSMUSG00000000884",54.7500936854049,0.361603786277325,0.13353843112652,2.70786307152826,0.0067717955326554,0.470351069554979,"Gnb1l"
"ENSMUSG00000000889",8.07140813917481,0.268604700984142,0.376590479159965,0.713254093898763,0.475688538498778,0.915104655115027,"Dbh"
"ENSMUSG00000000901",24.0566990704734,0.252959849499161,0.20299224496584,1.24615523879609,0.212707408450528,0.830575366301257,"Mmp11"
"ENSMUSG00000000902",933.002649757186,-0.0245845382479947,0.0330470089818461,-0.743926273675777,0.456921079303368,0.910965599741312,"Smarcb1"
"ENSMUSG00000000903",0.788738598204981,0.444525168772984,0.992644178048989,0.447819247423265,0.654283651333954,NA,"Vpreb3"
"ENSMUSG00000000915",1256.17360747745,0.100271657966534,0.0602991785179021,1.66290255408312,0.096331943065659,0.764161997423751,"Hip1r"
"ENSMUSG00000000916",220.583929932608,0.00546847318478151,0.0703604545362181,0.0777208336817468,0.938050121350943,0.996403698502544,"Nsun5"
"ENSMUSG00000000934",261.051437895449,-0.000148917086174362,0.0764545877059436,-0.00194778483074319,0.998445893538463,0.999683883165813,"Top1mt"
"ENSMUSG00000000948",212.352544242324,0.0288462450334612,0.118961890938222,0.242483074251413,0.808405870373568,0.97737371455231,NA
"ENSMUSG00000000957",181.730164439342,-0.00469330932010822,0.142998482361588,-0.0328206932171536,0.973817576300205,0.998858854604242,"Mmp14"
"ENSMUSG00000000958",30.0345147096432,0.256793949179476,0.163894885859416,1.5668210013566,0.117156537045828,0.77914996983747,"Slc7a7"
"ENSMUSG00000000959",630.261272168932,-0.00773085442544653,0.048999282606826,-0.157774849225437,0.87463421781237,0.985295118678663,"Oxa1l"
"ENSMUSG00000000976",382.390235550038,-0.138453977008129,0.0697438375688018,-1.98517864566236,0.0471245992709662,0.704274481455808,"Heatr6"
"ENSMUSG00000000982",3.17096521529264,-0.907981305884047,0.598983550752985,-1.51587018498692,0.129552180658986,NA,"Ccl3"
"ENSMUSG00000000983",5.84411622342523,0.162640624931236,0.374927054553659,0.433792715025208,0.664438972220423,0.954270875212378,"Wfdc18"
"ENSMUSG00000001014",15.0965009984266,0.133214861685295,0.227730057117607,0.584968288206676,0.558569039929463,0.936430371213057,"Icam4"
"ENSMUSG00000001016",1251.70462423585,0.0235698999475286,0.0390850396077574,0.60304147530787,0.546481098204046,0.933809994556559,"Ilf2"
"ENSMUSG00000001017",2357.66262488731,-0.0403393147272934,0.0451963613485577,-0.892534565253906,0.372106474374343,0.884738634474277,"Chtop"
"ENSMUSG00000001018",674.908674322142,0.00668678041708683,0.0476763233808189,0.140253692879704,0.888459550322345,0.987387975771868,"Snapin"
"ENSMUSG00000001020",16.3847927616734,-0.480936158148509,0.257724299030008,-1.86608775330304,0.0620290891012961,0.730685739053632,"S100a4"
"ENSMUSG00000001021",3.79425467037281,0.0239770040926729,0.459160004035057,0.0522192784257451,0.958353971927112,0.997423206833993,"S100a3"
"ENSMUSG00000001025",117.584951059144,-0.0174448728815156,0.155450271570473,-0.112221565811849,0.910647730131148,0.992045719912429,"S100a6"
"ENSMUSG00000001027",0.57655969711757,-0.245719511395624,1.25562861295753,-0.195694418604281,0.844849353255951,NA,"Scn4a"
"ENSMUSG00000001029",20.0000701513578,0.0864885816212759,0.199650089458327,0.43320081576687,0.664868886294664,0.954482875276904,"Icam2"
"ENSMUSG00000001034",388.858912238304,-0.0817501554574965,0.0909507606070698,-0.898839711859891,0.368738044186535,0.883448526168015,"Mapk7"
"ENSMUSG00000001036",3237.43177264727,-0.107115832467056,0.0463480179630004,-2.31112002572723,0.0208262261485199,0.609812817866503,"Epn2"
"ENSMUSG00000001039",133.473134172649,-0.0433246118948112,0.0949375778223301,-0.456348401640187,0.648139463629708,0.95390218768714,"B9d1"
"ENSMUSG00000001052",954.413855644456,-0.075941949890542,0.0590517725869645,-1.28602320580138,0.198434963023826,0.823900495224043,"Sec24b"
"ENSMUSG00000001053",225.639530846115,0.0669526836922468,0.101667275184826,0.658547045453221,0.510186677265476,0.923590105998629,"N4bp3"
"ENSMUSG00000001054",694.261887813224,0.0413200486806254,0.0507226356666823,0.814627397364664,0.415285623066555,0.897061283755765,"Rmnd5b"
"ENSMUSG00000001056",414.287641988361,0.13378055285026,0.0836296605762879,1.59967829509751,0.109669969321079,0.774676049777037,"Nhp2"
"ENSMUSG00000001062",742.616306793047,-0.0229725923956434,0.062154457774692,-0.369604903946203,0.711676896651338,0.963115408248343,"Vps9d1"
"ENSMUSG00000001065",420.665530360211,-0.087827898879146,0.0676704647470689,-1.29787639566862,0.194329812383051,0.821726743931372,"Zfp276"
"ENSMUSG00000001076",0.365722483102091,1.10722823687052,2.39647936963369,0.462022853566132,0.644064931806509,NA,"C1ql4"
"ENSMUSG00000001082",242.569312148434,-0.0635559421901291,0.0865788092935044,-0.734081961957605,0.46289878642165,0.911754918957569,"Mfsd10"
"ENSMUSG00000001089",2039.72957946569,-0.043479610476962,0.0794943919794895,-0.546951921944132,0.584411763011511,0.940724161691068,"Luzp1"
"ENSMUSG00000001098",926.127777167561,-0.00387848338392488,0.0422958164381076,-0.0916989837422893,0.926937204847457,0.994115309757138,"Kctd10"
"ENSMUSG00000001100",1296.02665891284,0.062501887887063,0.0451711892069884,1.38366708922937,0.1664604152416,0.80112893430516,"Poldip2"
"ENSMUSG00000001103",85.939331167981,-0.113216437270647,0.136675863253283,-0.828357213744741,0.407468229969212,0.896457303940366,"Sebox"
"ENSMUSG00000001105",683.717316968839,0.0689826802686898,0.0594506407604583,1.16033535360264,0.24591229586199,0.845920667470488,"Ift20"
"ENSMUSG00000001119",874.46006963757,0.0499000430638245,0.264284631025565,0.188811747660792,0.85024036415222,0.982852602759942,"Col6a1"
"ENSMUSG00000001120",648.742042392904,0.0470911081691121,0.059039121956852,0.797625483040348,0.425087858411568,0.900386581342065,"Pcbp3"
"ENSMUSG00000001123",76.6741672357554,-0.0485718983925074,0.12342923429494,-0.393520211560598,0.693935298978987,0.95944144415581,"Lgals9"
"ENSMUSG00000001127",2446.73004476761,0.00398622321262702,0.0381745729125856,0.104420898742074,0.916835338542683,0.993665374351011,"Araf"
"ENSMUSG00000001128",143.06468153178,-0.094760093447247,0.116502193822122,-0.813376043303773,0.416002490345726,0.897160577606765,"Cfp"
"ENSMUSG00000001131",3.15859696634518,0.25488199574365,0.539027578428232,0.47285520434199,0.636316485842191,NA,"Timp1"
"ENSMUSG00000001134",58.9505033299412,0.179628486541121,0.114770183480438,1.56511457151881,0.117556047495722,0.779357887947961,"Uxt"
"ENSMUSG00000001138",544.769568815102,-0.0515882773776849,0.0388715756630289,-1.32714654597218,0.184460210675906,0.813768334641122,"Cnnm3"
"ENSMUSG00000001143",1070.25364448283,-0.0742332845586677,0.0608931001424651,-1.21907546807425,0.222815549978764,0.834033967672774,"Lman2l"
"ENSMUSG00000001150",1140.82727595935,-0.0861800960394588,0.0567599149818598,-1.51832672876627,0.1289320527361,0.786866539840061,"Mcm3ap"
"ENSMUSG00000001151",714.070622407546,0.0228699460516728,0.0513931287611119,0.445000073024898,0.656319701352334,0.954205033699949,"Pcnt"
"ENSMUSG00000001155",0.258247262625316,1.06243903823048,2.43337128237849,0.436611973653276,0.66239277758817,NA,"Ftcd"
"ENSMUSG00000001156",358.792359779856,-0.0230378498757231,0.0475458020644278,-0.484540146036556,0.628002580062478,0.95009133613689,"Mxd1"
"ENSMUSG00000001157",413.110667696595,0.0667278091569373,0.049492647624276,1.34823680607072,0.177582230054904,0.806214973297015,"Gmcl1"
"ENSMUSG00000001158",537.577095539491,0.0816481081780358,0.0595574145040121,1.37091424901488,0.17040168892263,0.803806338741128,"Snrnp27"
"ENSMUSG00000001166",8.15008150116083,0.0882713819613778,0.352786948376373,0.250211586249514,0.802423725649676,0.975632835590037,"Oas1c"
